Repeat,mRate,EPC_MorseA,TempNoise,RunID,TrialName
R_7,1e-7,0.9,0.5,ID_307,A_Test
R_8,1e-7,0.9,0.5,ID_308,A_Test
R_9,1e-7,0.9,0.5,ID_309,A_Test
R_10,1e-7,0.9,0.5,ID_310,A_Test
R_11,1e-7,0.9,0.5,ID_311,A_Test
R_12,1e-7,0.9,0.5,ID_312,A_Test
R_13,1e-7,0.9,0.5,ID_313,A_Test
R_14,1e-7,0.9,0.5,ID_314,A_Test
R_15,1e-7,0.9,0.5,ID_315,A_Test
R_16,1e-7,0.9,0.5,ID_316,A_Test
R_17,1e-7,0.9,0.5,ID_317,A_Test
R_18,1e-7,0.9,0.5,ID_318,A_Test
R_19,1e-7,0.9,0.5,ID_319,A_Test
R_20,1e-7,0.9,0.5,ID_320,A_Test
R_21,1e-7,0.9,0.5,ID_321,A_Test
R_22,1e-7,0.9,0.5,ID_322,A_Test
R_23,1e-7,0.9,0.5,ID_323,A_Test
R_24,1e-7,0.9,0.5,ID_324,A_Test
R_25,1e-7,0.9,0.5,ID_325,A_Test
R_26,1e-7,0.9,0.5,ID_326,A_Test
R_27,1e-7,0.9,0.5,ID_327,A_Test
R_28,1e-7,0.9,0.5,ID_328,A_Test
R_29,1e-7,0.9,0.5,ID_329,A_Test
R_30,1e-7,0.9,0.5,ID_330,A_Test
R_31,1e-7,0.9,0.5,ID_331,A_Test
R_32,1e-7,0.9,0.5,ID_332,A_Test
R_33,1e-7,0.9,0.5,ID_333,A_Test
R_34,1e-7,0.9,0.5,ID_334,A_Test
R_35,1e-7,0.9,0.5,ID_335,A_Test
R_36,1e-7,0.9,0.5,ID_336,A_Test
R_37,1e-7,0.9,0.5,ID_337,A_Test
R_38,1e-7,0.9,0.5,ID_338,A_Test
R_39,1e-7,0.9,0.5,ID_339,A_Test
R_40,1e-7,0.9,0.5,ID_340,A_Test
R_41,1e-7,0.9,0.5,ID_341,A_Test
R_42,1e-7,0.9,0.5,ID_342,A_Test
R_43,1e-7,0.9,0.5,ID_343,A_Test
R_44,1e-7,0.9,0.5,ID_344,A_Test
R_45,1e-7,0.9,0.5,ID_345,A_Test
R_46,1e-7,0.9,0.5,ID_346,A_Test
R_47,1e-7,0.9,0.5,ID_347,A_Test
R_48,1e-7,0.9,0.5,ID_348,A_Test
R_49,1e-7,0.9,0.5,ID_349,A_Test
R_50,1e-7,0.9,0.5,ID_350,A_Test
R_51,1e-7,0.9,0.5,ID_351,A_Test
R_52,1e-7,0.9,0.5,ID_352,A_Test
R_53,1e-7,0.9,0.5,ID_353,A_Test
R_54,1e-7,0.9,0.5,ID_354,A_Test
R_55,1e-7,0.9,0.5,ID_355,A_Test
R_56,1e-7,0.9,0.5,ID_356,A_Test
R_57,1e-7,0.9,0.5,ID_357,A_Test
R_58,1e-7,0.9,0.5,ID_358,A_Test
R_59,1e-7,0.9,0.5,ID_359,A_Test
R_60,1e-7,0.9,0.5,ID_360,A_Test
R_61,1e-7,0.9,0.5,ID_361,A_Test
R_62,1e-7,0.9,0.5,ID_362,A_Test
R_63,1e-7,0.9,0.5,ID_363,A_Test
R_64,1e-7,0.9,0.5,ID_364,A_Test
R_65,1e-7,0.9,0.5,ID_365,A_Test
R_66,1e-7,0.9,0.5,ID_366,A_Test
R_67,1e-7,0.9,0.5,ID_367,A_Test
R_68,1e-7,0.9,0.5,ID_368,A_Test
R_69,1e-7,0.9,0.5,ID_369,A_Test
R_70,1e-7,0.9,0.5,ID_370,A_Test
R_71,1e-7,0.9,0.5,ID_371,A_Test
R_72,1e-7,0.9,0.5,ID_372,A_Test
R_73,1e-7,0.9,0.5,ID_373,A_Test
R_74,1e-7,0.9,0.5,ID_374,A_Test
R_75,1e-7,0.9,0.5,ID_375,A_Test
R_76,1e-7,0.9,0.5,ID_376,A_Test
R_77,1e-7,0.9,0.5,ID_377,A_Test
R_78,1e-7,0.9,0.5,ID_378,A_Test
R_79,1e-7,0.9,0.5,ID_379,A_Test
R_80,1e-7,0.9,0.5,ID_380,A_Test
R_81,1e-7,0.9,0.5,ID_381,A_Test
R_82,1e-7,0.9,0.5,ID_382,A_Test
R_83,1e-7,0.9,0.5,ID_383,A_Test
R_84,1e-7,0.9,0.5,ID_384,A_Test
R_85,1e-7,0.9,0.5,ID_385,A_Test
R_86,1e-7,0.9,0.5,ID_386,A_Test
R_87,1e-7,0.9,0.5,ID_387,A_Test
